Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
DT,Damon Harrison,NYG,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,55,2.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
DT,Geno Atkins,CIN,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,21,9,0,"PFW: 1st Tm All-Conf., SN: 1st Tm"
DT,Calais Campbell,ARI,2016,8,16,16,0,0,0,0,0,0,0,0,0,0,0,34,8,1,"AP: 2nd Tm, PFF: 1st Tm"
DT,Ndamukong Suh,MIA,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
DT,Gerald McCoy,TAM,2016,6,15,15,0,0,0,0,0,0,0,0,0,0,0,26,7,0,AP: 2nd Tm
OLB,Von Miller,DEN,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,62,13.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
OLB,Vic Beasley,ATL,2016,1,16,12,0,0,0,0,0,0,0,0,0,0,0,32,15.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
OLB,Lorenzo Alexander,BUF,2016,9,16,16,0,0,0,0,0,0,0,0,0,0,0,56,12.5,1,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
OLB,Ryan Kerrigan,WAS,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,26,11,0,PFW: 1st Tm All-Conf.
MLB,Bobby Wagner,SEA,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,85,4.5,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
MLB,Dont'a Hightower,NWE,2016,4,13,13,0,0,0,0,0,0,0,0,0,0,0,31,2.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
LB,Luke Kuechly,CAR,2016,4,10,10,0,0,0,0,0,0,0,0,0,0,0,71,2,1,"AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
LB,Sean Lee,DAL,2016,6,15,15,0,0,0,0,0,0,0,0,0,0,0,93,0,0,"AP: 1st Tm, PFF: 1st Tm"
LB,Zach Brown,BUF,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,97,4,1,AP: 2nd Tm
LB,Lavonte David,TAM,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,67,5,1,AP: 2nd Tm
LB,Benardrick McKinney,HOU,2016,1,16,16,0,0,0,0,0,0,0,0,0,0,0,79,5,0,AP: 2nd Tm
LB,Whitney Mercilus,HOU,2016,4,15,15,0,0,0,0,0,0,0,0,0,0,0,36,7.5,0,AP: 2nd Tm
LB,C.J. Mosley,BAL,2016,2,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0,4,AP: 2nd Tm
LB,Alec Ogletree,LAR,2016,3,16,16,0,0,0,0,0,0,0,0,0,0,0,98,0,2,AP: 2nd Tm
LB,Zach Orr,BAL,2016,2,15,15,0,0,0,0,0,0,0,0,0,0,0,92,0,3,AP: 2nd Tm
LB,Paul Posluszny,JAX,2016,9,16,16,0,0,0,0,0,0,0,0,0,0,0,97,1.5,1,PFF: 2nd Tm
LB,K.J. Wright,SEA,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,72,4,0,PFF: 2nd Tm
CB,Aqib Talib,DEN,2016,8,13,13,0,0,0,0,0,0,0,0,0,0,0,32,0,3,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Marcus Peters,KAN,2016,1,15,15,0,0,0,0,0,0,0,0,0,0,0,35,0,6,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
CB,Malcolm Butler,NWE,2016,2,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1,4,"PFF: 1st Tm, AP: 2nd Tm"
CB,Janoris Jenkins,NYG,2016,4,15,15,0,0,0,0,0,0,0,0,0,0,0,44,1,3,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
CB,Patrick Peterson,ARI,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0,3,PFW: 1st Tm All-Conf.
CB,Casey Hayward,SDG,2016,4,16,14,0,0,0,0,0,0,0,0,0,0,0,51,0,7,"AP: 2nd Tm, PFF: 2nd Tm"
S,Landon Collins,NYG,2016,1,16,16,0,0,0,0,0,0,0,0,0,0,0,100,4,5,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
S,Eric Berry,KAN,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
S,Eric Weddle,BAL,2016,9,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1,4,PFF: 1st Tm
S,Devin McCourty,NWE,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,67,0,1,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
S,Ha Ha Clinton-Dix,GNB,2016,2,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0.5,5,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
S,Kam Chancellor,SEA,2016,6,12,12,0,0,0,0,0,0,0,0,0,0,0,51,0,2,PFF: 2nd Tm
DB,Chris Harris Jr.,DEN,2016,5,16,15,0,0,0,0,0,0,0,0,0,0,0,57,0,2,"AP: 1st Tm, PFF: 1st Tm"
DB,Dominique Rodgers-Cromartie,NYG,2016,8,15,9,0,0,0,0,0,0,0,0,0,0,0,41,1,6,"AP: 2nd Tm, PFF: 2nd Tm"
P,Johnny Hekker,LAR,2016,4,16,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
P,Pat McAfee,IND,2016,7,16,0,1,1,35,0,0,1,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., PFF: 1st Tm, SN: 1st Tm"
P,Marquette King,OAK,2016,4,16,0,0,0,0,0,0,2,27,0,0,0,0,1,0,0,AP: 2nd Tm
PR,Marcus Sherels,MIN,2016,6,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,PFW: 1st Tm All-Conf.
PR,Jamison Crowder,WAS,2016,1,16,9,0,0,0,0,0,2,-2,0,67,847,7,0,0,0,PFF: 2nd Tm
KR,Tyreek Hill,KAN,2016,Rook,16,1,0,0,0,0,0,24,267,3,61,593,6,4,0,0,"PFW: 1st Tm All-Conf., PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
KR,Cordarrelle Patterson,MIN,2016,3,16,8,0,0,0,0,0,7,43,0,52,453,2,4,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
KR,Tyler Lockett,SEA,2016,1,15,9,0,0,0,0,0,6,114,1,41,597,1,0,0,0,"PFF: 1st Tm, AP: 2nd Tm"
KR,Alex Erickson,CIN,2016,Rook,16,0,0,0,0,0,0,0,0,0,6,71,0,0,0,0,PFF: 2nd Tm
ST,Matthew Slater,NWE,2016,8,13,0,0,0,0,0,0,1,5,0,0,0,0,4,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
ST,Eric Murray,KAN,2016,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,PFF: 1st Tm
ST,Dwayne Harris,NYG,2016,5,16,1,0,0,0,0,0,0,0,0,1,13,1,8,0,0,PFW: 1st Tm All-Conf.
ST,Cody Davis,LAR,2016,3,15,3,0,0,0,0,0,0,0,0,0,0,0,9,0,1,PFF: 2nd Tm
ST,Nate Ebner,NWE,2016,4,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,AP: 2nd Tm
PK,Justin Tucker,BAL,2016,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
PK,Matt Bryant,ATL,2016,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., PFF: 2nd Tm"
EDGE,Cameron Jordan,NOR,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,40,7.5,0,PFF: 2nd Tm
EDGE,Olivier Vernon,NYG,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,46,8.5,0,AP: 2nd Tm
EDGE,Cameron Wake,MIA,2016,7,16,11,0,0,0,0,0,0,0,0,0,0,0,22,11.5,1,AP: 2nd Tm
QB,Tom Brady,NWE,2017,17,16,16,385,581,4577,32,8,25,28,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
QB,Carson Wentz,PHI,2017,1,13,13,265,440,3296,33,7,64,299,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
QB,Matt Ryan,ATL,2017,9,16,16,342,529,4095,20,12,32,143,0,0,0,0,0,0,0,PFF: 2nd Tm
RB,Todd Gurley,LAR,2017,2,15,15,0,0,0,0,0,279,1305,13,64,788,6,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
RB,Le'Veon Bell,PIT,2017,4,15,15,0,0,0,0,0,321,1291,9,85,655,2,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
RB,Alvin Kamara,NOR,2017,Rook,16,3,0,0,0,0,0,120,728,8,81,826,5,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
RB,Kareem Hunt,KAN,2017,Rook,16,16,0,0,0,0,0,272,1327,8,53,455,3,0,0,0,PFW: 1st Tm All-Conf.
WR,Antonio Brown,PIT,2017,7,14,14,0,0,0,0,0,0,0,0,101,1533,9,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
WR,DeAndre Hopkins,HOU,2017,4,15,15,0,0,0,0,0,0,0,0,96,1378,13,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
WR,Julio Jones,ATL,2017,6,16,16,0,0,0,0,0,1,15,0,88,1444,3,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
WR,Michael Thomas,NOR,2017,1,16,14,0,0,0,0,0,0,0,0,104,1245,5,1,0,0,"PFW: 1st Tm All-Conf., PFF: 2nd Tm"
WR,Keenan Allen,LAC,2017,4,16,15,0,0,0,0,0,2,9,0,102,1393,6,0,0,1,PFF: 2nd Tm
WR,Adam Thielen,MIN,2017,4,16,16,0,0,0,0,0,1,11,0,91,1276,4,0,0,0,AP: 2nd Tm
TE,Rob Gronkowski,NWE,2017,7,14,14,0,0,0,0,0,0,0,0,69,1084,8,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
TE,Travis Kelce,KAN,2017,4,15,15,0,1,0,0,1,2,7,0,83,1038,8,0,0,0,"AP: 2nd Tm, SN: 1st Tm"
TE,Zach Ertz,PHI,2017,4,14,13,0,0,0,0,0,0,0,0,74,824,8,0,0,0,PFW: 1st Tm All-Conf.
TE,Hunter Henry,LAC,2017,1,14,13,0,0,0,0,0,0,0,0,45,579,4,0,0,0,PFF: 2nd Tm
LT,David Bakhtiari,GNB,2017,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 1st Tm"
LT,Joe Staley,SFO,2017,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
OT,Trent Williams,WAS,2017,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SN: 1st Tm
T,Lane Johnson,PHI,2017,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
T,Andrew Whitworth,LAR,2017,11,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
T,Taylor Lewan,TEN,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., SN: 1st Tm"
T,Mitchell Schwartz,KAN,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
T,Alejandro Villanueva,PIT,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
LG,Andrew Norwell,CAR,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, PFF: 1st Tm"
LG,Joel Bitonio,CLE,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
LG,Rodger Saffold,LAR,2017,7,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP: 2nd Tm
G,David DeCastro,PIT,2017,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
G,Zack Martin,DAL,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
G,Brandon Brooks,PHI,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
G,Kelechi Osemele,OAK,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
C,Jason Kelce,PHI,2017,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
C,Alex Mack,ATL,2017,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, SN: 1st Tm"
C,Maurkice Pouncey,PIT,2017,7,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
C,Travis Frederick,DAL,2017,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
RT,Daryl Williams,CAR,2017,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
RT,Demar Dotson,TAM,2017,8,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
DE,Cameron Jordan,NOR,2017,6,16,16,0,0,0,0,0,0,0,0,0,0,0,48,13,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DE,Calais Campbell,JAX,2017,9,16,16,0,0,0,0,0,0,0,0,0,0,0,47,14.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm"
DE,Everson Griffen,MIN,2017,7,15,15,0,0,0,0,0,0,0,0,0,0,0,31,13,0,"SN: 1st Tm, AP: 2nd Tm"
DE,DeMarcus Lawrence,DAL,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,35,14.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
DE,Joey Bosa,LAC,2017,1,16,16,0,0,0,0,0,0,0,0,0,0,0,54,12.5,0,PFW: 1st Tm All-Conf.
DT,Aaron Donald,LAR,2017,3,14,14,0,0,0,0,0,0,0,0,0,0,0,32,11,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DT,Fletcher Cox,PHI,2017,5,14,14,0,0,0,0,0,0,0,0,0,0,0,15,5.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
DT,Geno Atkins,CIN,2017,7,16,15,0,0,0,0,0,0,0,0,0,0,0,29,9,0,"PFW: 1st Tm All-Conf., PFF: 1st Tm"
DT,Cameron Heyward,PIT,2017,6,15,15,0,0,0,0,0,0,0,0,0,0,0,30,12,0,AP: 1st Tm
DT,Malik Jackson,JAX,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,31,8,0,PFW: 1st Tm All-Conf.
DT,Kawann Short,CAR,2017,4,16,16,0,0,0,0,0,0,0,0,0,0,0,27,7.5,0,PFF: 2nd Tm
DT,Ndamukong Suh,MIA,2017,7,16,16,0,0,0,0,0,0,0,0,0,0,0,29,4.5,0,PFF: 2nd Tm
OLB,Chandler Jones,ARI,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,52,17,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
OLB,Von Miller,DEN,2017,6,16,16,0,0,0,0,0,0,0,0,0,0,0,51,10,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm"
OLB,Jadeveon Clowney,HOU,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,41,9.5,0,PFW: 1st Tm All-Conf.
OLB,Ryan Kerrigan,WAS,2017,6,16,16,0,0,0,0,0,0,0,0,0,0,0,34,13,1,PFW: 1st Tm All-Conf.
MLB,Luke Kuechly,CAR,2017,5,15,15,0,0,0,0,0,0,0,0,0,0,0,74,1.5,3,"PFW: 1st Tm All-Conf., AP: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
MLB,Ryan Shazier,PIT,2017,3,12,12,0,0,0,0,0,0,0,0,0,0,0,68,0,3,PFW: 1st Tm All-Conf.
LB,Bobby Wagner,SEA,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,97,1.5,2,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
LB,Lavonte David,TAM,2017,5,13,13,0,0,0,0,0,0,0,0,0,0,0,76,0,0,PFF: 2nd Tm
LB,Deion Jones,ATL,2017,1,16,16,0,0,0,0,0,0,0,0,0,0,0,91,1,3,PFF: 2nd Tm
LB,C.J. Mosley,BAL,2017,3,16,16,0,0,0,0,0,0,0,0,0,0,0,96,1,2,AP: 2nd Tm
LB,Telvin Smith,JAX,2017,3,14,14,0,0,0,0,0,0,0,0,0,0,0,76,1,3,AP: 2nd Tm
CB,Jalen Ramsey,JAX,2017,1,16,16,0,0,0,0,0,0,0,0,0,0,0,52,0,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Xavier Rhodes,MIN,2017,4,16,16,0,0,0,0,0,0,0,0,0,0,0,44,0,2,"AP: 1st Tm, AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
CB,Darius Slay,DET,2017,4,16,16,0,0,0,0,0,0,0,0,0,0,0,54,0,8,"PFW: 1st Tm All-Conf., AP: 1st Tm"
CB,Casey Hayward,LAC,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,33,0,4,"PFF: 1st Tm, AP: 2nd Tm"
CB,A.J. Bouye,JAX,2017,4,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0,6,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
CB,Marshon Lattimore,NOR,2017,Rook,13,13,0,0,0,0,0,0,0,0,0,0,0,43,0,5,PFW: 1st Tm All-Conf.
CB,Tre'Davious White,BUF,2017,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0,4,PFF: 2nd Tm
S,Harrison Smith,MIN,2017,5,16,16,0,0,0,0,0,0,0,0,0,0,0,61,1.5,5,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
S,Kevin Byard,TEN,2017,1,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0,8,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
S,Earl Thomas,SEA,2017,7,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0,2,"PFW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm"
S,Adrian Amos,CHI,2017,2,13,10,0,0,0,0,0,0,0,0,0,0,0,62,0,1,PFF: 1st Tm
S,Eric Weddle,BAL,2017,10,16,16,0,0,0,0,0,0,0,0,0,0,0,49,1,6,PFW: 1st Tm All-Conf.
S,Micah Hyde,BUF,2017,4,16,16,0,0,0,0,0,0,0,0,0,0,0,65,0,5,AP: 2nd Tm
S,Lamarcus Joyner,LAR,2017,3,12,12,0,0,0,0,0,0,0,0,0,0,0,39,0,3,PFF: 2nd Tm
S,Glover Quin,DET,2017,8,16,16,0,0,0,0,0,0,0,0,0,0,0,60,0,3,PFF: 2nd Tm
DB,Patrick Robinson,PHI,2017,7,16,8,0,0,0,0,0,0,0,0,0,0,0,39,1,4,PFF: 2nd Tm
K,Matt Prater,DET,2017,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 1st Tm
K,Robbie Gould,SFO,2017,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
P,Johnny Hekker,LAR,2017,5,16,0,2,3,34,0,0,0,0,0,0,0,0,2,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
P,Brett Kern,TEN,2017,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm, SN: 1st Tm"
P,Thomas Morstead,NOR,2017,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 1st Tm
PR,Jamal Agnew,DET,2017,Rook,13,0,0,0,0,0,0,2,9,0,2,18,0,10,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
